date,sku_id,sales
2024-05-09,milk,50
2024-05-10,milk,48
2024-05-11,milk,47
2024-05-12,milk,49
2024-05-13,milk,51
2024-05-14,milk,52
2024-05-15,milk,51
2024-05-16,milk,49
2024-05-17,milk,48
2024-05-18,milk,50
2024-05-19,milk,52
2024-05-20,milk,53
2024-05-21,milk,52
2024-05-22,milk,50
2024-05-23,milk,49
2024-05-24,milk,51
2024-05-25,milk,53
2024-05-26,milk,54
2024-05-27,milk,53
2024-05-28,milk,51
2024-05-29,milk,50
2024-05-30,milk,52
2024-05-31,milk,54
date,sku_id,sales
2024-01-01,milk,20
2024-01-02,milk,18
2024-01-03,milk,22
2024-01-04,milk,21
2024-01-05,milk,25
2024-01-06,milk,30
2024-01-07,milk,35
2024-01-08,milk,22
2024-01-09,milk,21
2024-01-10,milk,24
2024-01-11,milk,23
2024-01-12,milk,28
2024-01-13,milk,32
2024-01-14,milk,38
2024-01-15,milk,25
2024-01-16,milk,23
2024-01-17,milk,26
2024-01-18,milk,25
2024-01-19,milk,30
2024-01-20,milk,35
2024-01-21,milk,40
2024-01-22,milk,27
2024-01-23,milk,26
2024-01-24,milk,28
2024-01-25,milk,27
2024-01-26,milk,32
2024-01-27,milk,36
2024-01-28,milk,42
2024-01-29,milk,28
2024-01-30,milk,27
2024-01-31,milk,30
2024-02-01,milk,29
2024-02-02,milk,34
2024-02-03,milk,38
2024-02-04,milk,44
2024-02-05,milk,30
2024-02-06,milk,29
2024-02-07,milk,32
2024-02-08,milk,31
2024-02-09,milk,36
2024-02-10,milk,40
2024-02-11,milk,46
2024-02-12,milk,32
2024-02-13,milk,31
2024-02-14,milk,34
2024-02-15,milk,33
2024-02-16,milk,38
2024-02-17,milk,42
2024-02-18,milk,48
2024-02-19,milk,34
2024-02-20,milk,33
2024-02-21,milk,36
2024-02-22,milk,35
2024-02-23,milk,40
2024-02-24,milk,44
2024-02-25,milk,50

2024-01-01,rice,10
2024-01-02,rice,11
2024-01-03,rice,10
2024-01-04,rice,12
2024-01-05,rice,13
2024-01-06,rice,15
2024-01-07,rice,18
2024-01-08,rice,11
2024-01-09,rice,12
2024-01-10,rice,11
2024-01-11,rice,13
2024-01-12,rice,14
2024-01-13,rice,16
2024-01-14,rice,19
2024-01-15,rice,12
2024-01-16,rice,13
2024-01-17,rice,12
2024-01-18,rice,14
2024-01-19,rice,15
2024-01-20,rice,17
2024-01-21,rice,20
2024-01-22,rice,13
2024-01-23,rice,14
2024-01-24,rice,13
2024-01-25,rice,15
2024-01-26,rice,16
2024-01-27,rice,18
2024-01-28,rice,21
2024-01-29,rice,14
2024-01-30,rice,15
2024-01-31,rice,14
2024-02-01,rice,16
2024-02-02,rice,17
2024-02-03,rice,19
2024-02-04,rice,22
2024-02-05,rice,15
2024-02-06,rice,16
2024-02-07,rice,15
2024-02-08,rice,17
2024-02-09,rice,18
2024-02-10,rice,20
2024-02-11,rice,23
2024-02-12,rice,16
2024-02-13,rice,17
2024-02-14,rice,16
2024-02-15,rice,18
2024-02-16,rice,19
2024-02-17,rice,21
2024-02-18,rice,24
2024-02-19,rice,17
2024-02-20,rice,18
2024-02-21,rice,17
2024-02-22,rice,19
2024-02-23,rice,20
2024-02-24,rice,22
2024-02-25,rice,25
2024-01-01,bread,15
2024-01-02,bread,14
2024-01-03,bread,16
2024-01-04,bread,15
2024-01-05,bread,18
2024-01-06,bread,20
2024-01-07,bread,23
2024-01-08,bread,16
2024-01-09,bread,15
2024-01-10,bread,17
2024-01-11,bread,16
2024-01-12,bread,19
2024-01-13,bread,21
2024-01-14,bread,24
2024-01-15,bread,17
2024-01-16,bread,16
2024-01-17,bread,18
2024-01-18,bread,17
2024-01-19,bread,20
2024-01-20,bread,22
2024-01-21,bread,25
2024-01-22,bread,18
2024-01-23,bread,17
2024-01-24,bread,19
2024-01-25,bread,18
2024-01-26,bread,21
2024-01-27,bread,23
2024-01-28,bread,26
2024-01-29,bread,19
2024-01-30,bread,18
2024-01-31,bread,20
2024-02-01,bread,19
2024-02-02,bread,22
2024-02-03,bread,24
2024-02-04,bread,27
2024-02-05,bread,20
2024-02-06,bread,19
2024-02-07,bread,21
2024-02-08,bread,20
2024-02-09,bread,23
2024-02-10,bread,25
2024-02-11,bread,28
2024-02-12,bread,21
2024-02-13,bread,20
2024-02-14,bread,22
2024-02-15,bread,21
2024-02-16,bread,24
2024-02-17,bread,26
2024-02-18,bread,29
2024-02-19,bread,22
2024-02-20,bread,21
2024-02-21,bread,23
2024-02-22,bread,22
2024-02-23,bread,25
2024-02-24,bread,27
2024-02-25,bread,30
